date,sales,unemployment,temperature,facebook_newsfeed_spend,facebook_newsfeed_impressions,youtube_brand_spend,youtube_brand_impressions,search_spend,search_clicks,youtube_performance_spend,youtube_performance_impressions,newspaper_spend,newspaper_readership,tv_spend,tv_gross_rating_points,cpi
7/1/19,1101354.886,3.7,66.23203199,10955.74657,11352112,24992.27525,14428173,21080.51465,9380,29223.10188,6838661,12178.57257,747190,21990.20736,1370779,255.9
7/2/19,1084979.778,3.7,67.87694623,10837.91813,11784249,27312.72509,12907289,19896.00107,8803,27183.06947,6680114,12076.1543,840911,18402.6368,1127588,255.9
7/3/19,1088240.596,3.7,74.54216927,11198.04499,10989205,25219.41268,11895368,24844.98278,11619,24559.17209,6010005,11851.026,1141541,21716.0026,1095842,255.9
7/4/19,1083313.955,3.7,66.68590574,10832.99767,11956619,25182.95761,11617086,26477.71989,12617,26708.2309,6442621,11849.61347,1015797,18683.23781,1247539,255.9
7/5/19,1075850.403,3.7,53.42735332,10012.57963,8949200,25784.00721,12394510,21660.48024,9334,24525.5894,6011511,12349.15927,850827,15713.6951,1351751,255.9
7/6/19,1072044.295,3.7,56.88059927,11336.32883,11854052,22907.44883,10690771,26932.0788,12914,25746.02682,6333575,11902.95465,1278246,19374.34517,1041130,255.9
7/7/19,1102032.765,3.7,47.95868779,11540.7345,12319159,25779.97447,11578744,23750.51927,11408,31713.44471,8004013,11960.6591,918094,20312.4389,1096396,255.9
7/8/19,1105857.711,3.7,47.46800968,11489.07992,10770222,25794.56121,13393099,20400.86611,9370,26401.6398,6373164,12107.62508,1882464,23506.10456,1495044,255.9
7/9/19,1087926.488,3.7,61.07130735,11607.93665,10685785,26610.82511,14112955,26595.40323,10710,23442.24206,5720689,12071.86305,1077652,18797.64777,1074347,255.9
7/10/19,1067222.466,3.7,52.35186759,11113.10338,9762270,22211.5334,9596601,21323.13891,9553,28272.0472,6983166,11805.67588,959322,18619.77064,1096870,255.9
7/11/19,1075778.667,3.7,54.1293815,10379.41071,8802984,28876.96128,12335671,20293.00253,9138,29847.69374,7396029,12297.7001,957226,19125.87252,1088633,255.9
7/12/19,1078538.693,3.7,68.37724862,10811.48072,10924145,21576.37405,11266237,22441.93372,9223,28741.26218,6958704,11805.56151,1076239,21680.83421,1773799,255.9
7/13/19,1059966.356,3.7,52.74890164,11233.94679,11150110,25133.43318,11980637,21497.15921,9274,25154.16225,6073336,12448.35345,934310,21158.33052,1427443,255.9
7/14/19,1064890.189,3.7,48.47226488,10592.30774,9729761,23366.56987,10795360,20712.65582,9335,25263.57644,6253591,11943.19348,1003397,19851.69515,1522249,255.9
7/15/19,1070256.565,3.7,61.6161902,10972.57533,10610154,25640.39354,13577139,21819.05035,9230,0,0,12128.0358,1059799,20201.86819,1273262,255.9
7/16/19,1064063.555,3.7,42.92238829,10743.01387,9120286,27021.4095,12898636,21793.33936,10212,0,0,12007.06611,929041,21124.37218,1477223,255.9
7/17/19,1075428.027,3.7,62.35227019,11310.22168,10489616,20673.79541,9263412,24678.07915,11043,0,0,12124.32162,1011502,19715.76631,1382213,255.9
7/18/19,1092116.792,3.7,65.93079152,11020.386,9252827,23699.40191,11157220,22455.79069,10048,0,0,12537.7215,994517,19902.16085,1112670,255.9
7/19/19,1044753.023,3.7,58.71699744,10968.20353,9942029,20724.26802,8969474,22782.76574,9995,0,0,12198.02953,832045,22028.31252,1336432,255.9
7/20/19,1067367.307,3.7,53.98574323,11687.14372,9098161,25793.36149,12425004,20864.90134,9749,0,0,12344.40214,1032382,19723.56409,1472739,255.9
7/21/19,1106115.854,3.7,66.95071435,11195.93173,8796525,25841.65978,12600197,21331.37145,9356,0,0,12892.0252,1276199,19477.01292,1642159,255.9
7/22/19,1077916.786,3.7,55.87286665,10815.27666,9901274,26854.55227,13854139,24316.16643,10422,0,0,12207.85,1010797,19677.92328,1063931,255.9
7/23/19,1080068.554,3.7,70.13262499,11063.98122,10159607,24201.44342,11307026,25322.14364,11709,0,0,11251.2102,816714,21199.30286,1282492,255.9
7/24/19,1090725.535,3.7,52.73175359,11412.25322,10073735,28677.11958,12789901,23354.83254,10605,0,0,11615.49707,767039,17136.79288,871709,255.9
7/25/19,1072372.011,3.7,73.1162559,11452.01309,12089466,27461.7049,13354570,21493.40936,10064,0,0,11819.0174,1053802,21392.91736,1234130,255.9
7/26/19,1097755.741,3.7,65.73210616,11178.45594,9522367,25719.27724,13314951,22486.45085,9413,0,0,11860.24118,1242343,20964.83081,1250929,255.9
7/27/19,1072705.291,3.7,76.51065555,11049.42022,9992278,25127.4438,13078015,25644.58288,12112,0,0,12658.80262,920068,21247.54759,1116713,255.9
7/28/19,1089039.947,3.7,75.61234821,11407.13558,10465447,24725.23212,11796382,22346.30499,9717,0,0,11650.06298,865774,19752.78294,1302535,255.9
7/29/19,1069138.354,3.7,80.78953716,11015.94837,9164425,24428.09981,11954258,21185.61837,9539,25384.77341,6400368,0,0,21165.96282,1383974,255.9
7/30/19,1052600.986,3.7,64.42727242,11343.32308,11698317,27505.43345,10990532,21720.71634,9382,26696.09893,6375838,0,0,21548.21734,1304993,255.9
7/31/19,1087210.089,3.7,70.14440912,11322.58936,10204557,26340.4104,13149923,21158.02055,9179,25190.6841,6050946,0,0,19252.4886,1256459,255.9
8/1/19,1069140.534,3.7,66.23298223,10729.21455,8827697,23451.54553,10977756,22341.90381,10366,24691.1196,6061184,0,0,18305.48847,1330387,256.179
8/2/19,1068460.802,3.7,68.70940066,10450.90693,9039059,22713.78951,11405212,25866.62702,11359,32061.05913,7990743,0,0,23123.99078,1391711,256.179
8/3/19,1081142.047,3.7,84.39880804,11269.46362,10905930,22717.42808,10627248,21583.21187,10053,32273.15658,7956547,0,0,18983.86286,1218673,256.179
8/4/19,1077842.278,3.7,63.92059914,11387.76008,9293025,22426.60452,10742192,24043.11977,10559,29424.53422,7269938,0,0,17169.15162,771445,256.179
8/5/19,1079798.502,3.7,72.6055131,10842.75048,10756083,17593.52831,8318809,21381.89795,10024,25551.53501,6114165,0,0,19513.08811,1409986,256.179
8/6/19,1065040.473,3.7,73.07407185,10920.13387,8000443,24532.01501,12052149,21509.56231,9757,34772.00455,8501801,0,0,20756.59549,1288094,256.179
8/7/19,1059838.484,3.7,74.14567522,11178.7107,11392132,23644.9688,10168366,20460.21973,8865,33491.53804,8358393,0,0,14642.99116,764252,256.179
8/8/19,1071331.741,3.7,66.95597416,11274.04033,9076856,23975.48996,10671989,20616.80884,8462,29527.20153,6997796,0,0,20012.12831,1276465,256.179
8/9/19,1095570.633,3.7,69.37045797,11360.22146,9587613,27949.50727,13043635,23078.47073,10016,30902.40233,7841917,0,0,20896.28621,1135969,256.179
8/10/19,1080623.183,3.7,80.18279832,11188.90442,9574001,27528.64376,15141967,25172.64029,11471,30297.87458,7311479,0,0,18912.81414,1148911,256.179
8/11/19,1075671.509,3.7,84.2088087,11133.0616,11802656,24113.86164,11871205,23352.7816,11485,25768.8105,6323127,0,0,22053.04088,1400371,256.179
8/12/19,1046107.397,3.7,72.659932,11381.41851,11485803,23951.47857,10796438,21804.57457,10486,0,0,12088.88959,1138319,19359.1233,1348846,256.179
8/13/19,1087864.646,3.7,64.72692009,11299.96767,11241836,23886.97776,10664443,26229.66675,11685,0,0,12231.58133,1584828,20510.84139,1093670,256.179
8/14/19,1076773.569,3.7,67.58444167,11121.34189,9623773,21023.99967,10212062,21123.98841,9557,0,0,11983.40301,1581615,19275.55137,1128420,256.179
8/15/19,1095837.283,3.7,81.11190379,11088.694,10094747,24757.12226,11389602,23038.57472,9710,0,0,11677.75437,1199721,19585.14024,1273686,256.179
8/16/19,1061991.746,3.7,62.30319692,11558.32563,10346395,24829.75844,11315923,23312.2696,10403,0,0,12022.77387,831015,21494.23075,1294756,256.179
8/17/19,1077977.326,3.7,78.7874431,12167.85532,10284615,24895.78334,11282691,25493.37285,11849,0,0,11873.48208,833779,16920.19935,1083771,256.179
8/18/19,1075258.71,3.7,70.25211689,11042.83726,9919505,24706.0165,11406401,23307.78039,10712,0,0,11825.58612,1086020,17565.99076,1242415,256.179
8/19/19,1073370.89,3.7,63.38386341,10973.32885,9191065,24533.08067,10501979,20500.45322,8935,0,0,11788.98898,992258,21839.14246,1252242,256.179
8/20/19,1057620.855,3.7,60.94133206,10542.75053,9183428,25659.70341,12407731,21076.82921,9218,0,0,12182.1647,907386,20152.67242,1217941,256.179
8/21/19,1072291.461,3.7,74.48499809,10764.25718,9295232,26562.86011,12597630,21074.48679,9118,0,0,12034.24484,1089385,24494.50391,1006000,256.179
8/22/19,1096636.498,3.7,53.73955249,11191.41059,8957920,29536.42324,14031671,22576.01633,10125,0,0,11735.181,935783,18572.40484,1021949,256.179
8/23/19,1081904.042,3.7,73.10639685,10783.98269,10349426,27661.59489,12038772,24013.10711,10617,0,0,12314.65399,881843,20067.4836,1447036,256.179
8/24/19,1061088.804,3.7,50.70483305,11999.39434,11721255,23601.81066,10116007,26460.64814,11905,0,0,12301.75261,1061687,20949.70989,1574893,256.179
8/25/19,1103291.163,3.7,67.47496351,10801.30916,10833319,26404.35682,14018764,25000.20721,11033,0,0,11989.27841,957837,20679.96925,1542844,256.179
8/26/19,1092024.358,3.7,70.55742144,10826.9558,10940643,23344.93049,12358956,18317.95843,7482,18668.71414,4420339,11798.33975,1094832,16527.63453,1534822,256.179
8/27/19,1083769.912,3.7,72.79503845,10889.39688,9531662,26571.66632,12015639,21869.3398,9694,25333.12911,6157304,12343.59117,1030690,23097.67315,1408580,256.179
8/28/19,1086308.392,3.7,51.51444107,10658.233,9871565,22834.45966,11665355,26726.73386,12499,21722.37136,5256943,12119.1501,1299089,24355.10511,1764239,256.179
8/29/19,1059217.735,3.7,44.4871946,11593.98012,11328754,21480.36133,11783436,27324.72634,11834,26399.76953,6434258,11406.21665,1226684,21281.13764,1491101,256.179
